time,lat,lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nr_scell1_cid,nr_scell1_freq,nr_scell2_cid,nr_scell2_freq,nr_scell3_cid,nr_scell3_freq,cell_set_type,cell_set_type_v2,throughput,rtt,disruption,thput_confidence_level,current_traffic_mode,total_bw,time_delta,cell_id
1628217458,-86.15972541,39.77247336,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,0,None,None,1,fd,50,8.900000095,2
1628217458,-86.15972608,39.7724818,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,59.4328,None,None,1,fd,50,9,2
1628217458,-86.15972689,39.7724921,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,11.51392,None,None,1,fd,50,9.099999905,2
1628217458,-86.15972735,39.77249834,311,850,634,174270,258,66661,202,66936,None,None,None,None,None,None,None,None,LTE+Sub6,LTE+5GS_LTE,26.15808,None,None,1,fd,40,9.200000048,8
1628217458,-86.1597278,39.77250519,311,850,634,174270,258,66661,202,66936,None,None,None,None,None,None,None,None,LTE+Sub6,LTE+5GS_LTE,44.0496,None,None,1,fd,40,9.299999952,8
1628217458,-86.15972821,39.77251141,311,850,634,174270,258,66661,202,66936,None,None,None,None,None,None,None,None,LTE+Sub6,LTE+5GS_LTE,0,None,None,1,fd,40,9.400000095,8
1628217459,-86.15972857,39.77251702,311,850,634,174270,258,66661,202,66936,None,None,None,None,None,None,None,None,LTE+Sub6,LTE+5GS_LTE,0.11568,None,None,1,fd,40,9.5,8
1628217459,-86.15972902,39.77252387,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,41.34656,None,None,1,fd,50,9.599999905,3
1628217459,-86.15972939,39.77252947,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,4.4136,None,None,1,fd,50,9.700000048,3
1628217459,-86.15972979,39.7725357,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,29.796,None,None,1,fd,50,9.799999952,3
1628217459,-86.15973024,39.77254255,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,0,None,None,1,fd,50,9.900000095,3
1628217459,-86.15973061,39.77254815,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,65.0496,None,None,1,fd,50,10,3
1628217459,-86.15973106,39.772555,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,81.07248,None,None,1,fd,50,10.0999999,3
1628217459,-86.1597314,39.77255945,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,85.61952,None,None,1,fd,50,10.20000005,3
1628217459,-86.15973179,39.77256314,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,65.1816,None,None,1,fd,50,10.29999995,3
1628217459,-86.15973214,39.7725665,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,96.7864,None,None,1,fd,50,10.4000001,3
1628217460,-86.15973246,39.77256952,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,97.1008,None,None,1,fd,50,10.5,3
1628217460,-86.15973285,39.77257321,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,81.30928,None,None,1,fd,50,10.5999999,3
1628217460,-86.15973317,39.77257624,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,63.82064,None,None,1,fd,50,10.70000005,3
1628217460,-86.15973352,39.77257959,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,84.19728,None,None,1,fd,50,10.79999995,3
1628217460,-86.15973391,39.77258328,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,81.18272,None,None,1,fd,50,10.9000001,3
1628217460,-86.15973423,39.77258631,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,74.2376,None,None,1,fd,50,11,3
1628217460,-86.15973462,39.77259,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,105.53344,None,None,1,fd,50,11.0999999,3
1628217460,-86.1597348,39.77259196,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,78.62,None,None,1,fd,50,11.20000005,3
1628217460,-86.15973489,39.77259333,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,69.1448,None,None,1,fd,50,11.29999995,3
1628217460,-86.15973497,39.77259458,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,85.6304,None,None,1,fd,50,11.4000001,3
1628217461,-86.15973504,39.7725957,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,0,None,None,1,fd,50,11.5,3
1628217461,-86.15973513,39.77259706,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,91.51664,None,None,1,fd,50,11.5999999,3
1628217461,-86.15973521,39.77259818,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,17.02448,None,None,1,fd,50,11.70000005,3
1628217461,-86.15973529,39.77259943,311,850,634,174270,258,66661,202,66936,None,None,None,None,None,None,None,None,LTE+Sub6,LTE+5GS_LTE,49.67728,None,None,1,fd,40,11.79999995,8
1628217461,-86.15973538,39.7726008,311,850,634,174270,258,66661,202,66936,None,None,None,None,None,None,None,None,LTE+Sub6,LTE+5GS_LTE,0,None,None,1,fd,40,11.9000001,8
1628217461,-86.15973545,39.77260192,311,850,634,174270,258,66661,202,66936,None,None,None,None,None,None,None,None,LTE+Sub6,LTE+5GS_LTE,0.11568,None,None,1,fd,40,12,8
1628217461,-86.15973554,39.77260329,311,850,634,174270,258,66661,202,66936,None,None,None,None,None,None,None,None,LTE+Sub6,LTE+5GS_LTE,1.9992,None,None,1,fd,40,12.0999999,8
1628217461,-86.15973561,39.77260441,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,3.79168,None,None,1,fd,50,12.20000005,3
1628217461,-86.15973571,39.77260467,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,0,None,None,1,fd,50,12.29999995,3
1628217461,-86.1597358,39.7726048,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,15.96704,None,None,1,fd,50,12.4000001,3
1628217462,-86.15973588,39.77260492,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,47.48336,None,None,1,fd,50,12.5,3
1628217462,-86.15973598,39.77260507,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,57.86768,None,None,1,fd,50,12.5999999,3
1628217462,-86.15973606,39.77260519,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,53.03888,None,None,1,fd,50,12.70000005,3
1628217462,-86.15973615,39.77260533,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,55.5472,None,None,1,fd,50,12.79999995,3
1628217462,-86.15973625,39.77260548,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,53.77792,None,None,1,fd,50,12.9000001,3
1628217462,-86.15973633,39.7726056,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,59.84112,None,None,1,fd,50,13,3
1628217462,-86.15973643,39.77260575,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,52.36112,None,None,1,fd,50,13.0999999,3
1628217462,-86.15973647,39.7726058,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,53.77792,None,None,1,fd,50,13.20000005,3
1628217462,-86.15973647,39.77260579,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,62.3208,None,None,1,fd,50,13.29999995,3
1628217462,-86.15973646,39.77260579,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,54.77008,None,None,1,fd,50,13.4000001,3
1628217463,-86.15973646,39.77260579,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,49.5616,None,None,1,fd,50,13.5,3
1628217463,-86.15973646,39.77260578,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,58.44064,None,None,1,fd,50,13.5999999,3
1628217463,-86.15973646,39.77260578,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,61.07552,None,None,1,fd,50,13.70000005,3
1628217463,-86.15973646,39.77260577,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,69.83888,None,None,1,fd,50,13.79999995,3
1628217463,-86.15973646,39.77260577,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,53.7888,None,None,1,fd,50,13.9000001,3
1628217463,-86.15973645,39.77260577,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,0,None,None,1,fd,50,14,3
1628217463,-86.15973645,39.77260576,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,57.6744,None,None,1,fd,50,14.0999999,3
1628217463,-86.15973655,39.77260573,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,0,None,None,1,fd,50,14.20000005,3
1628217463,-86.15973683,39.77260563,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,0,None,None,1,fd,50,14.29999995,3
1628217463,-86.15973708,39.77260555,311,850,634,174270,258,66661,64,66486,None,None,None,None,None,None,None,None,LTE+Sub6,LTE+5GS_LTE,27.27136,None,None,1,fd,40,14.4000001,9
1628217464,-86.1597373,39.77260547,311,850,634,174270,258,66661,64,66486,None,None,None,None,None,None,None,None,LTE+Sub6,LTE+5GS_LTE,0,None,None,1,fd,40,14.5,9
1628217464,-86.15973758,39.77260538,311,850,634,174270,258,66661,64,66486,None,None,None,None,None,None,None,None,LTE+Sub6,LTE+5GS_LTE,0.11568,None,None,1,fd,40,14.5999999,9
1628217464,-86.1597378,39.7726053,311,850,None,None,265,5330,64,66486,202,66936,None,None,None,None,None,None,LTE,LTE+LTE,51.79904,None,None,1,fd,50,14.70000005,4
